country,date,GDP per capita (current US$),Urban population (% of total population)
United Arab Emirates,2018,43839.3563491413,86.522
United Arab Emirates,2017,40644.804043392,86.248
United Arab Emirates,2016,38141.8467585492,85.965
United Arab Emirates,2015,38663.3838066363,85.674
United Arab Emirates,2014,43751.8388860721,85.375
United Arab Emirates,2013,42412.6302780364,85.066
United Arab Emirates,2012,40976.4997112455,84.749
United Arab Emirates,2011,39194.6766208456,84.423
United Arab Emirates,2010,33893.303514039,84.087
United Arab Emirates,2009,32024.1816031187,83.742
United Arab Emirates,2008,44498.9342301633,83.387
United Arab Emirates,2007,41809.516382842,83.023
United Arab Emirates,2006,41907.405655968,82.648
United Arab Emirates,2005,39365.4339019123,82.262
United Arab Emirates,2004,36333.2498445266,81.871
United Arab Emirates,2003,33499.0937513705,81.472
United Arab Emirates,2002,31567.4737120596,81.067
United Arab Emirates,2001,31280.7842785952,80.655
United Arab Emirates,2000,33291.419366353,80.236
United Arab Emirates,1999,28470.8378632746,79.81
United Arab Emirates,1998,26899.601766231,79.378
United Arab Emirates,1997,29512.6637440248,78.938
United Arab Emirates,1996,28975.0229000791,78.493
United Arab Emirates,1995,27222.0358561647,78.319
Switzerland,2018,82818.1081617471,73.797
Switzerland,2017,80449.9945127739,73.761
Switzerland,2016,80172.2320869148,73.739
Switzerland,2015,82081.5971616165,73.718
Switzerland,2014,86605.5633762421,73.696
Switzerland,2013,85112.4643984141,73.674
Switzerland,2012,83538.230025042,73.653
Switzerland,2011,88415.6280324892,73.631
Switzerland,2010,74605.7210819748,73.607
Switzerland,2009,69927.4687582492,73.581
Switzerland,2008,72487.8459417575,73.556
Switzerland,2007,63555.2374554216,73.53
Switzerland,2006,57579.5019538092,73.504
Switzerland,2005,54952.6737613431,73.478
Switzerland,2004,53340.1476775431,73.452
Switzerland,2003,48087.5831291964,73.427
Switzerland,2002,41376.3939501661,73.401
Switzerland,2001,38538.9900858784,73.375
Switzerland,2000,37868.3230348534,73.383
Switzerland,1999,40581.3070515572,73.438
Switzerland,1998,41497.2025665071,73.492
Switzerland,1997,40417.9622720409,73.546
Switzerland,1996,46676.8509670492,73.6
Switzerland,1995,48662.4397857994,73.654
China,2018,9976.67713725865,59.152
China,2017,8879.43866711346,57.96
China,2016,8147.93770548839,56.736
China,2015,8066.94263493557,55.5
China,2014,7678.59948587483,54.259
China,2013,7050.64627124287,53.013
China,2012,6316.91831760216,51.765
China,2011,5618.13226711952,50.511
China,2010,4550.4531077571,49.226
China,2009,3832.23643246702,47.88
China,2008,3468.30460207434,46.539
China,2007,2693.97006340526,45.199
China,2006,2099.22943460447,43.868
China,2005,1753.41782925823,42.522
China,2004,1508.66809788266,41.144
China,2003,1288.64325183381,39.776
China,2002,1148.5082904417,38.425
China,2001,1053.10824300452,37.093
China,2000,959.372483639691,35.877
China,1999,873.28706172579,34.865
China,1998,828.580479295681,33.867
China,1997,781.744164341053,32.883
China,1996,709.413755085039,31.916
China,1995,609.656679202484,30.961
Germany,2018,47810.5076706348,77.312
Germany,2017,44552.8193719078,77.261
Germany,2016,42107.5172703074,77.224
Germany,2015,41086.7296737253,77.2
Germany,2014,47959.9932737599,77.19
Germany,2013,46285.7640688407,77.18
Germany,2012,43858.3630551076,77.17
Germany,2011,46644.776027968,77.16
Germany,2010,41531.9341978689,76.966
Germany,2009,41485.9016495139,76.771
Germany,2008,45427.151677489,76.575
Germany,2007,41587.2128984264,76.378
Germany,2006,36323.4477421822,76.179
Germany,2005,34507.3688142332,75.98
Germany,2004,34044.0536341248,75.779
Germany,2003,30243.5765296979,75.577
Germany,2002,25077.7290759602,75.374
Germany,2001,23607.8828553922,75.17
Germany,2000,23635.9292203977,74.965
Germany,1999,26725.9152182573,74.758
Germany,1998,27289.0593603191,74.551
Germany,1997,26964.0494672673,74.342
Germany,1996,30485.8665482279,74.133
Germany,1995,31658.3493789135,73.922
France,2018,41631.0907389044,80.444
France,2017,38812.1610341682,80.18
France,2016,37037.3741861219,79.917
France,2015,36638.184929157,79.655
France,2014,43011.2631028417,79.394
France,2013,42592.9340943342,79.135
France,2012,40874.7035053457,78.878
France,2011,43790.7320482019,78.622
France,2010,40638.33400426,78.369
France,2009,41575.4187483737,78.117
France,2008,45334.1144358246,77.868
France,2007,41508.4339850416,77.621
France,2006,36443.6234414411,77.377
France,2005,34760.1877663866,77.13
France,2004,33741.2651469175,76.883
France,2003,29568.385949668,76.632
France,2002,24177.3351674642,76.38
France,2001,22433.5557141945,76.127
France,2000,22364.0293943406,75.871
France,1999,24673.1989691744,75.614
France,1998,24974.2721990005,75.417
France,1997,24228.9423508964,75.25
France,1996,26871.8290189054,75.082
France,1995,26890.2198804535,74.912
United Kingdom,2018,43043.2278164551,83.398
United Kingdom,2017,40361.4173832159,83.143
United Kingdom,2016,41064.1334316223,82.886
United Kingdom,2015,44974.8318771782,82.626
United Kingdom,2014,47425.6076805194,82.365
United Kingdom,2013,43444.533001954,82.102
United Kingdom,2012,42462.771568145,81.837
United Kingdom,2011,42038.572250193,81.57
United Kingdom,2010,39435.8399018505,81.302
United Kingdom,2009,38713.1374283353,81.031
United Kingdom,2008,47286.9984928367,80.757
United Kingdom,2007,50566.8265956828,80.479
United Kingdom,2006,44599.6975685697,80.199
United Kingdom,2005,42030.2866138136,79.915
United Kingdom,2004,40290.3139710116,79.629
United Kingdom,2003,34419.1479145952,79.339
United Kingdom,2002,30056.5862179301,79.047
United Kingdom,2001,27744.5064592461,78.751
United Kingdom,2000,28149.8700107891,78.651
United Kingdom,1999,28669.539690801,78.591
United Kingdom,1998,28214.274355869,78.532
United Kingdom,1997,26734.5626114537,78.472
United Kingdom,1996,24332.6977665594,78.413
United Kingdom,1995,23123.1777902009,78.353
Japan,2018,39159.4235633952,91.616
Japan,2017,38386.5111457057,91.535
Japan,2016,38761.8181501925,91.457
Japan,2015,34524.4698609337,91.381
Japan,2014,38109.4121125573,91.304
Japan,2013,40454.4474578903,91.226
Japan,2012,48603.4766497749,91.148
Japan,2011,48167.9972684965,91.069
Japan,2010,44507.6763859172,90.812
Japan,2009,40855.1756354596,89.989
Japan,2008,39339.2975731826,89.103
Japan,2007,35275.2284312667,88.146
Japan,2006,35433.988963743,87.118
Japan,2005,37217.648727917,85.978
Japan,2004,37688.7223359406,84.64
Japan,2003,34808.3909176613,83.196
Japan,2002,32289.3505360726,81.647
Japan,2001,33846.4656414342,79.99
Japan,2000,38532.0408752935,78.649
Japan,1999,36026.5560750168,78.523
Japan,1998,31902.7670955137,78.398
Japan,1997,35021.7190917159,78.272
Japan,1996,38436.9263119118,78.145
Japan,1995,43440.3678678967,78.016
Saudi Arabia,2018,23338.9634580718,83.844
Saudi Arabia,2017,20803.7459178785,83.622
Saudi Arabia,2016,19879.2975306167,83.401
Saudi Arabia,2015,20627.9327823422,83.18
Saudi Arabia,2014,24463.9031634311,82.96
Saudi Arabia,2013,24844.7443707585,82.74
Saudi Arabia,2012,25243.3586980136,82.52
Saudi Arabia,2011,23745.8016143957,82.302
Saudi Arabia,2010,19262.5525186107,82.084
Saudi Arabia,2009,16113.1437099688,81.867
Saudi Arabia,2008,20078.2554193042,81.649
Saudi Arabia,2007,16516.6265340361,81.427
Saudi Arabia,2006,15384.7402421118,81.204
Saudi Arabia,2005,13791.4501296897,80.979
Saudi Arabia,2004,11185.1389747634,80.754
Saudi Arabia,2003,9609.9669743435,80.53
Saudi Arabia,2002,8695.40007247388,80.304
Saudi Arabia,2001,8684.64740030335,80.077
Saudi Arabia,2000,9171.33014525259,79.848
Saudi Arabia,1999,8007.95978039,79.616
Saudi Arabia,1998,7419.16001961107,79.383
Saudi Arabia,1997,8551.67429704272,79.147
Saudi Arabia,1996,8335.80386678597,78.91
Saudi Arabia,1995,7690.57752261971,78.67
Turkey,2018,9455.59365384828,75.143
Turkey,2017,10591.4743712025,74.644
Turkey,2016,10895.3186924719,74.134
Turkey,2015,11006.2497363978,73.611
Turkey,2014,12157.3379609015,73.077
Turkey,2013,12614.4802575975,72.531
Turkey,2012,11795.316711752,71.974
Turkey,2011,11420.7732646112,71.402
Turkey,2010,10742.4300726761,70.825
Turkey,2009,9103.70987859135,70.241
Turkey,2008,10940.9912499593,69.651
Turkey,2007,9791.65157352724,69.053
Turkey,2006,8102.1214888943,68.45
Turkey,2005,7456.3877151334,67.84
Turkey,2004,6101.47160805958,67.225
Turkey,2003,4760.14894922884,66.602
Turkey,2002,3687.89027802495,65.974
Turkey,2001,3142.9551896786,65.34
Turkey,2000,4337.47814131056,64.741
Turkey,1999,4116.17016504945,64.223
Turkey,1998,4499.7367014434,63.703
Turkey,1997,3144.38585934025,63.179
Turkey,1996,3053.94702504913,62.653
Turkey,1995,2897.86649148369,62.123
United States,2018,62996.4712852605,82.256
United States,2017,60062.2223132211,82.058
United States,2016,57951.5840820997,81.862
United States,2015,56839.3817742317,81.671
United States,2014,55064.7445483427,81.483
United States,2013,53117.6678498178,81.299
United States,2012,51610.6052783379,81.119
United States,2011,49886.8181094923,80.944
United States,2010,48467.5157769259,80.772
United States,2009,47099.9804711343,80.606
United States,2008,48382.5584490552,80.438
United States,2007,47975.9676958038,80.269
United States,2006,46298.7314440927,80.099
United States,2005,44114.7477810544,79.928
United States,2004,41712.8010675545,79.757
United States,2003,39496.4858751381,79.583
United States,2002,38023.1611144021,79.409
United States,2001,37133.2428088526,79.234
United States,2000,36334.9087770589,79.057
United States,1999,34513.5615037271,78.742
United States,1998,32853.6769523009,78.377
United States,1997,31459.1389804773,78.008
United States,1996,29967.7127181749,77.636
United States,1995,28690.8757013347,77.257
